ID	Enity Type	Label	Contributor	Created
ID	TYPE	LABEL	A dcterms:contributor SPLIT=|	A dcterms:created
neio:0000000	organization	A-Neuron Electronic Corp.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000001	organization	ATLAS Neuroengineering	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000002	organization	Avery Laboratories	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000003	organization	Biomedical Technologies	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000004	organization	Bionic Eye Technologies	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000005	organization	Bionic Sight, LLC	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000006	organization	Bionic Vision Technologies	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000007	organization	Blackrock Microsystems Europe GmbH	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000008	organization	Blackrock Microsystems LLC	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000009	organization	Cortigent, Inc.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000010	organization	Cortivision	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000011	organization	Epi-Ret GmBH	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000012	organization	Golden Eye Bionics, LLC	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000013	organization	Grey Innovations	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000014	organization	iBionics	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000015	organization	IMI Intelligent Medical Implants GmbH	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000016	organization	IntelliMicro Medical Co., Ltd.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000017	organization	Iridium Medical Technology Co. Ltd.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000018	organization	MicroProbes for Life Science	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000019	organization	Nano Retina	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000020	organization	Nanovision Biosciences	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000021	organization	Nerve Biomed S.L.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000022	organization	Neuralink	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000023	organization	Nidek Co., Ltd.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000024	organization	Nurotron Biotechnology Co., Ltd.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000025	organization	Optobionics	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000026	organization	Phosphoenix	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000027	organization	Pixium Vision	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000028	organization	Polystim Neurotechnologies	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000029	organization	Retina Implant AG	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000030	organization	ReVision Implant	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000031	organization	SCHOTT MiniFab	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000032	organization	Science	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000033	organization	Second Sight Medical Products	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000034	organization	Sensor-Tech	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000035	organization	SiBionics	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000036	organization	Sigenics	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000037	organization	Visus Technology, Inc.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000038	organization	Vivani Medical	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z
neio:0000039	organization	Minori Industry Co., Ltd.	https://orcid.org/0000-0001-9625-1899	2024-02-20T18:00:00Z